metal,unit,year,mean,median,min,max,origin_var
Niobium,kg/MW,2050,26.359899999999996,26.359899999999996,26.359899999999996,26.359899999999996,Wind-DDPM
Praseodymium,kg/MW,2050,15.709750000000001,14.3325,5.88,24.80625,Wind-DDPM
Terbium,kg/MW,2050,3.2666666666666666,3.2864999999999993,0.378,4.8999999999999995,Wind-DDPM
Vanadium,kg/MW,2050,31.632545,23.724408750000002,0.0,63.265089999999994,Wind-DDPM
Aluminium,kg/MW,2050,1128.75,1004.5,868.0,1547.0,Wind-Gearbox
Boron,kg/MW,2050,0.42,0.41999999999999993,0.0,0.7,Wind-Gearbox
Chromium,kg/MW,2050,394.52,338.4325,251.22999999999996,591.8499999999999,Wind-Gearbox
Manganese,kg/MW,2050,381.84999999999997,419.3875,39.55,560.0,Wind-Gearbox
Molybdenum,kg/MW,2050,73.3775,70.4025,52.71000000000001,88.19999999999999,Wind-Gearbox
Niobium,kg/MW,2050,26.39,26.39,26.39,26.39,Wind-Gearbox
Praseodymium,kg/MW,2050,1.9032000000000002,1.56,0.0,4.68,Wind-Gearbox
Terbium,kg/MW,2050,0.3675,0.28875,0.0,0.7,Wind-Gearbox
Vanadium,kg/MW,2050,31.64,23.73,0.0,63.28,Wind-Gearbox
Zinc,kg/MW,2050,3838.333333333333,3841.2499999999995,3814.9999999999995,3849.9999999999995,Wind-Gearbox
Aluminium,kg/MW,2050,38.324999999999996,30.05625,5.25,71.39999999999999,a-Si
Boron,kg/MW,2050,0.00056,0.00056,0.00056,0.00056,a-Si
Cadmium,kg/MW,2050,1.1898,1.1898,1.1898,1.1898,a-Si
Chromium,kg/MW,2050,443.79999999999995,443.79999999999995,443.79999999999995,443.79999999999995,a-Si
Molybdenum,kg/MW,2050,7.433999999999999,7.433999999999999,7.433999999999999,7.433999999999999,a-Si
Nickel,kg/MW,2050,233.79999999999998,233.79999999999998,233.79999999999998,233.79999999999998,a-Si
Tellurium,kg/MW,2050,1.3499999999999999,1.3499999999999999,1.3499999999999999,1.3499999999999999,a-Si
Tin,kg/MW,2050,58.708999999999996,55.047999999999995,3.7239999999999998,100.247,a-Si
Aluminium,kg/MW,2050,1402.625,1053.28125,5.25,2800.0,c-Si
Gallium,kg/MW,2050,1.6199999999999999,1.6199999999999999,1.6199999999999999,1.6199999999999999,c-Si
Lead,kg/MW,2050,96.67116666666665,39.036375,4.1475,235.2,c-Si
Nickel,kg/MW,2050,0.9099999999999999,0.9099999999999999,0.9099999999999999,0.9099999999999999,c-Si
Tin,kg/MW,2050,245.378,205.7475,86.856,403.9,c-Si
Zinc,kg/MW,2050,11.7145,11.7145,11.7145,11.7145,c-Si
