scenario,Region,EMF30 Sector,pollutant,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SSP1,AFRI_EAST,End_Use_Industry_LLF,NH3,0.00015,0.00015,0.0001499999999999,0.0001499999999999,0.00015,0.00015,0.00015,0.0001487818117414,0.0001467949551035,0.0001314056240183,0.0001229223110625,0.000114068714933,0.0001074746956998,0.000104567609333,0.0001024807324176,0.0001009547209113,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
SSP1,AFRI_EAST,End_Use_Industry_LLF,NOX,0.07,0.07,0.07,0.07,0.0699999999999999,0.07,0.07,0.0694315121460242,0.0685043123816477,0.057950228708588,0.0521912191208413,0.0461910513437554,0.0411314204932752,0.0391139728970753,0.0375020761699174,0.0361063437169805,0.035,0.035,0.035,0.035,0.035,0.035,0.035
SSP1,AFRI_EAST,End_Use_Industry_LLF,PM_BC,3.155378499740215e-05,3.169921319098662e-05,2.340814963620952e-05,2.110092439917008e-05,2.41337995647186e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05,2.5969635938478897e-05
SSP1,AFRI_EAST,End_Use_Industry_LLF,PM_OC,0.0003386900186082,0.0003414032311751,0.0001867192096307,0.000143673962671,0.0002002574545656,0.0002345081331805,0.0002345081331805,0.000375,0.000375,0.000375,0.000375,0.000375,0.000375,0.000375,0.000375,0.000375,0.000375,0.000375,0.000375,0.000375,0.000375,0.000375,0.000375
SSP1,AFRI_EAST,End_Use_Industry_LLF,PM_total,0.0003702438036056021,0.0003731024443660866,0.00021012735926690952,0.00016477488707017008,0.0002243912541303186,0.0002604777691189789,0.0002604777691189789,0.0004009696359384789,0.0004009696359384789,0.0004009696359384789,0.0004009696359384789,0.0004009696359384789,0.0004009696359384789,0.0004009696359384789,0.0004009696359384789,0.0004009696359384789,0.0004009696359384789,0.0004009696359384789,0.0004009696359384789,0.0004009696359384789,0.0004009696359384789,0.0004009696359384789,0.0004009696359384789
SSP1,AFRI_EAST,End_Use_Industry_LLF,SO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,End_Use_Industry_LLF,VOC,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025,0.0025
SSP1,AFRI_EAST,End_Use_Industry_NatGas,CO,0.035,0.035,0.035,0.035,0.0349999999999999,0.0349999999999999,0.035,0.0347157560730121,0.0342521561908238,0.0333822513923201,0.0328552048822579,0.0327463119153336,0.0327463119153336,0.0327463119153336,0.0327463119153336,0.0327463119153336,0.0327463119153336,0.0327463119153336,0.0327463119153336,0.0327463119153336,0.0327463119153336,0.0327463119153336,0.0327463119153336
SSP1,AFRI_EAST,End_Use_Industry_NatGas,NH3,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.0008339005710696,0.0008367841990551,0.0008361453460191,0.0008355064929831,0.0008347035320264,0.0008339005710696,0.0008339005710696,0.0008339005710696,0.0008339005710696,0.0008339005710696,0.0008339005710696,0.0008339005710696,0.0008339005710696,0.0008339005710696,0.0008339005710696,0.0008339005710696
SSP1,AFRI_EAST,End_Use_Industry_NatGas,NOX,0.1,0.1,0.1,0.0999999999999999,0.1,0.1,0.1,0.0991878744943204,0.0978633034023538,0.0757684646985119,0.0637954397068394,0.0513356548475889,0.0399824138883335,0.0357252802647152,0.0320949210816168,0.0286785358922003,0.0257229792388954,0.0257229792388954,0.0257229792388954,0.0257229792388954,0.0257229792388954,0.0257229792388954,0.0257229792388954
SSP1,AFRI_EAST,End_Use_Industry_NatGas,PM_BC,6.700000000000001e-06,6.699999999999999e-06,6.7e-06,6.700000000000001e-06,6.699999999999999e-06,6.7e-06,6.700000000000001e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06,6.7e-06
SSP1,AFRI_EAST,End_Use_Industry_NatGas,PM_OC,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.500000000000001e-05,7.5e-05,7.500000000000001e-05,7.500000000000001e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05,7.5e-05
SSP1,AFRI_EAST,End_Use_Industry_NatGas,PM_total,8.17e-05,8.17e-05,8.17e-05,8.17e-05,8.17e-05,8.17e-05,8.170000000000001e-05,8.17e-05,8.170000000000001e-05,8.170000000000001e-05,8.17e-05,8.17e-05,8.17e-05,8.17e-05,8.17e-05,8.17e-05,8.17e-05,8.17e-05,8.17e-05,8.17e-05,8.17e-05,8.17e-05,8.17e-05
SSP1,AFRI_EAST,End_Use_Industry_NatGas,SO2,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666,0.0004166666666666
SSP1,AFRI_EAST,End_Use_Industry_NatGas,VOC,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
SSP1,AFRI_EAST,End_Use_Residential_Bio_Mod,CO,,,,,,,,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999,0.0309999999999999
SSP1,AFRI_EAST,End_Use_Residential_Bio_Mod,NH3,,,,,,,,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,End_Use_Residential_Bio_Mod,NOX,,,,,,,,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,End_Use_Residential_Bio_Mod,PM_BC,,,,,,,,,,,,,,,,,,,,,,,
SSP1,AFRI_EAST,End_Use_Residential_Bio_Mod,PM_OC,,,,,,,,,,,,,,,,,,,,,,,
