scenario;region;year;technology;min;mean;max
intervention;AFR;2020;Lead II;1.225e-05;1.225e-05;1.225e-05
intervention;AFR;2020;Particulate Matter, < 2.5 um;1.920e-04;1.920e-04;1.920e-04
intervention;AFR;2020;Particulate Matter, > 10 um;5.760e-05;5.760e-05;5.760e-05
intervention;AFR;2020;Particulate Matter, > 2.5 um and < 10um;5.760e-05;5.760e-05;5.760e-05
intervention;AFR;2020;Sulfur dioxide;9.630e-02;9.630e-02;9.630e-02
intervention;AFR;2050;Arsenic ion;4.600e-06;3.737e-05;1.014e-04
intervention;AFR;2050;Cadmium II;9.040e-06;2.227e-05;4.501e-05
intervention;AFR;2050;Copper ion;3.940e-05;5.223e-05;6.690e-05
intervention;AFR;2050;Lead II;1.100e-05;1.287e-05;1.412e-05
intervention;AFR;2050;Particulate Matter, < 2.5 um;1.400e-04;1.687e-04;1.885e-04
intervention;AFR;2050;Particulate Matter, > 10 um;4.200e-05;5.060e-05;5.655e-05
intervention;AFR;2050;Particulate Matter, > 2.5 um and < 10um;4.200e-05;5.060e-05;5.655e-05
intervention;AFR;2050;Sulfur dioxide;4.000e-03;2.005e-02;5.090e-02
intervention;CAZ;2020;Arsenic ion;5.330e-05;5.330e-05;5.330e-05
intervention;CAZ;2020;Cadmium II;2.777e-05;2.777e-05;2.777e-05
intervention;CAZ;2020;Copper ion;5.535e-05;5.535e-05;5.535e-05
intervention;CAZ;2020;Lead II;1.287e-05;1.287e-05;1.287e-05
intervention;CAZ;2020;Particulate Matter, < 2.5 um;1.718e-04;1.718e-04;1.718e-04
intervention;CAZ;2020;Particulate Matter, > 10 um;5.152e-05;5.152e-05;5.152e-05
intervention;CAZ;2020;Particulate Matter, > 2.5 um and < 10um;5.152e-05;5.152e-05;5.152e-05
intervention;CAZ;2020;Sulfur dioxide;2.770e-02;2.770e-02;2.770e-02
intervention;CAZ;2050;Arsenic ion;3.400e-06;4.800e-06;5.800e-06
intervention;CAZ;2050;Cadmium II;6.060e-06;9.537e-06;1.202e-05
intervention;CAZ;2050;Copper ion;3.060e-05;4.087e-05;4.820e-05
intervention;CAZ;2050;Lead II;8.500e-06;1.142e-05;1.350e-05
intervention;CAZ;2050;Particulate Matter, < 2.5 um;1.100e-04;1.450e-04;1.700e-04
intervention;CAZ;2050;Particulate Matter, > 10 um;3.300e-05;4.350e-05;5.100e-05
intervention;CAZ;2050;Particulate Matter, > 2.5 um and < 10um;3.300e-05;4.350e-05;5.100e-05
intervention;CAZ;2050;Sulfur dioxide;3.000e-03;4.167e-03;5.000e-03
intervention;CHA;2020;Arsenic ion;1.486e-04;1.486e-04;1.486e-04
intervention;CHA;2020;Cadmium II;6.002e-05;6.001e-05;6.002e-05
intervention;CHA;2020;Copper ion;7.185e-05;7.185e-05;7.185e-05
intervention;CHA;2020;Lead II;1.225e-05;1.225e-05;1.225e-05
